Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
신동아,아파트,199702,ES,103.81,103.81,103.0,285,250000,270000,250000,68000,75000,70000,8024,8666,8024,2182,2407,2247,37.52299,127.058767,8,0,3,0,19,0,9,0,3,3,18,6,청담동
청담신원아침도시마인(도시형),아파트,201309,ES,35.63,70.29,39.0,399,33000,85000,35000,0,0,,2797,4997,2967,0,0,,37.526467,127.049604,6,0,7,1,19,0,18,1,6,11,30,6,청담동
"더헤리움(A동,도시형)",아파트,201704,ES,68.97,68.97,68.0,199,0,0,,80000,85000,80000,0,0,,3889,4132,3889,37.523623,127.052716,12,1,9,2,19,0,21,1,7,14,25,6,청담동
청구,아파트,199205,ES,104.76,104.76,104.0,261,240000,300000,250000,88000,88000,88000,7629,9536,7947,2797,2797,2797,37.52004,127.058283,7,1,3,0,19,0,9,0,4,4,18,6,청담동
청담브르넨,아파트,201910,ES,204.36,257.62,204.0,199,700000,1000000,1000000,70000,850000,700000,10417,16205,16205,1134,12154,11343,37.527279,127.047782,9,0,6,1,19,0,16,1,2,10,26,6,청담동
청담자이,아파트,201203,ES,70.8,120.58,71.0,266,219000,400000,230000,110000,250000,120000,9366,11806,10709,4437,6945,5587,37.524236,127.056715,8,0,6,0,19,0,13,0,4,5,19,6,청담동
위레벤646(도시형),아파트,202106,ES,49.5,68.76,49.0,470,124800,191400,124800,0,0,,7691,10057,8420,0,0,,37.519595,127.057879,8,1,3,0,19,0,9,0,3,4,18,6,청담동
이니그마빌Ⅰ,아파트,200103,ES,271.08,271.08,271.0,265,500000,500000,500000,0,0,,6099,6099,6099,0,0,,37.525563,127.04362,12,1,7,2,19,0,30,0,6,8,22,6,청담동
연세2차,아파트,199712,ES,147.69,147.69,147.0,399,300000,300000,300000,0,0,,6747,6747,6747,0,0,,37.52867,127.047845,4,0,4,1,19,0,8,1,2,6,21,6,청담동
케이씨빌,아파트,200411,ES,123.51,123.51,123.0,199,160000,160000,160000,90000,100000,90000,4300,4300,4300,2419,2688,2419,37.519018,127.038771,4,0,2,1,18,0,5,0,1,0,13,6,청담동
청담현대빌라트,아파트,199811,ES,196.53,196.53,196.0,225,350000,350000,350000,0,0,,5903,5903,5903,0,0,,37.526661,127.049093,6,0,6,1,19,0,19,1,5,11,30,6,청담동
삼호,아파트,199706,ES,192.43,245.29,245.0,0,390000,390000,390000,0,0,,5262,6715,5262,0,0,,37.527263,127.048791,7,0,6,1,19,0,17,1,4,8,28,6,청담동
청담파라곤Ⅱ 1단지,아파트,201004,ES,208.07,217,217.0,249,400000,400000,400000,350000,350000,350000,6094,6122,6094,5332,5563,5332,37.528686,127.046533,3,0,4,1,19,0,7,1,1,5,21,6,청담동
청담범신칼릭스빌,아파트,200605,ES,104.55,104.55,104.0,249,250000,250000,250000,110000,110000,110000,7947,7947,7947,3497,3497,3497,37.525252,127.050787,5,0,9,1,19,0,20,1,11,11,29,6,청담동
청담힐,아파트,199704,ES,226.96,226.96,226.0,0,340000,360000,360000,0,0,,4973,5266,5266,0,0,,37.527494,127.048482,6,0,6,1,19,0,17,1,2,9,27,6,청담동
청담e-편한세상3차,아파트,200711,ES,105.17,106.34,106.0,248,213000,220000,215000,90000,125000,125000,6643,6861,6705,2807,3898,3898,37.518596,127.045575,5,0,4,1,19,0,4,0,3,5,22,6,청담동
씨티2차,아파트,199207,ES,97.87,148.05,97.0,0,0,0,,95000,150000,95000,0,0,,2680,3408,3238,37.528425,127.048844,5,0,5,1,19,0,12,1,1,6,22,6,청담동
구산,아파트,199311,ES,75.06,144.54,75.0,248,220000,220000,220000,125000,130000,,9697,9697,9697,2870,2984,,37.52668,127.05395,4,0,6,1,19,0,12,1,4,9,23,6,청담동
청담에디션,오피스텔,201801,ES,129.62,129.62,129.0,767,200000,200000,200000,0,0,,5125,5125,5125,0,0,,37.524364,127.045769,10,0,7,2,19,0,20,1,7,13,26,6,청담동
위레벤646,오피스텔,202106,ES,43.32,67.34,43.0,470,56800,105923,56800,70000,70000,,4339,5247,4367,3673,3673,,37.519611,127.057873,8,1,3,0,19,0,9,0,3,4,18,6,청담동
삼환,아파트,199911,ES,109.84,110.13,110.0,264,180000,180000,180000,95000,110000,109000,5409,5459,5409,2855,3306,3276,37.5215,127.04767,12,0,8,2,19,0,16,0,6,14,31,6,청담동
라테라스청담(도시형),아파트,201810,ES,26.86,60.22,27.0,358,35000,80000,36000,28000,29000,28500,3857,4897,4408,3085,3560,3489,37.519721,127.050522,7,1,8,1,19,0,8,0,7,9,23,6,청담동
한양2차,아파트,197809,ES,160.57,192.55,160.0,143,550000,630000,550000,190000,200000,190000,10296,11364,11364,3444,3926,3926,37.529834,127.04034,4,1,1,0,16,0,14,0,1,2,15,6,청담동
청담래미안로이뷰,아파트,201401,ES,136.11,136.11,136.0,370,270000,400000,315000,180000,230000,210000,6563,9723,7657,4375,5591,5105,37.524843,127.055994,6,0,6,1,19,0,14,0,4,6,22,6,청담동
대우로얄카운티II,아파트,200204,ES,263.21,263.21,263.0,289,500000,500000,500000,0,0,,6285,6285,6285,0,0,,37.526145,127.047572,10,0,7,1,19,0,18,1,3,14,28,6,청담동
대우로얄카운티V,아파트,200307,ES,276.67,276.67,276.0,299,500000,500000,500000,0,0,,5989,5989,5989,0,0,,37.522605,127.052289,16,1,9,2,19,0,22,0,4,14,25,6,청담동
상지리츠빌10차,아파트,200709,ES,202.64,202.64,202.0,229,380000,380000,380000,0,0,,6219,6219,6219,0,0,,37.526051,127.049394,7,0,7,1,19,0,19,1,8,13,31,6,청담동
청담삼성,아파트,199802,ES,158.2,158.2,158.0,0,230000,230000,230000,0,0,,4812,4812,4812,0,0,,37.522972,127.051419,13,1,9,2,19,0,23,1,6,17,25,6,청담동
씨티3차,아파트,199601,ES,166.54,166.54,166.0,282,350000,350000,350000,0,0,,6970,6970,6970,0,0,,37.528224,127.049582,4,0,5,1,19,0,13,1,2,7,23,6,청담동
청담영풍마드레빌,아파트,200310,ES,103.93,103.93,103.0,231,210000,210000,210000,0,0,,6740,6740,6740,0,0,,37.519156,127.044663,6,0,4,1,19,0,8,0,3,6,23,6,청담동
대우리츠카운티,아파트,200110,ES,230.57,230.57,230.0,299,390000,400000,390000,0,0,,5605,5749,5605,0,0,,37.526638,127.048482,9,0,6,1,19,0,18,1,4,12,29,6,청담동
청담대우멤버스카운티11차,아파트,200404,ES,156.01,183.28,183.0,246,290000,320000,320000,0,0,,5239,6781,5781,0,0,,37.526155,127.049948,7,0,7,1,19,0,18,1,8,11,30,6,청담동
두산,아파트,199606,ES,240.62,245.52,240.0,127,580000,600000,580000,450000,450000,,7826,8096,7989,6072,6072,,37.526672,127.047403,10,0,6,1,19,0,16,1,4,12,26,6,청담동
청담대우멤버스카운티Ⅲ,아파트,200306,ES,165.88,166.11,166.0,185,300000,300000,300000,180000,180000,180000,5974,5974,5974,3585,3606,3585,37.526761,127.050301,7,0,7,1,19,0,17,1,7,10,30,6,청담동
상지리츠빌4차,아파트,200009,ES,196.25,228.04,196.0,256,400000,420000,420000,0,0,,5800,7084,7084,0,0,,37.527862,127.048263,5,0,6,1,19,0,14,1,2,7,25,6,청담동
청담아이파크,아파트,201402,ES,137.05,137.11,137.0,423,310000,450000,350000,170000,230000,210000,7480,10858,8445,4102,5550,5067,37.525261,127.055378,6,0,6,1,19,0,13,0,6,8,22,6,청담동
한양7차,아파트,198104,ES,114.55,151.04,114.0,320,400000,500000,400000,79000,200000,85000,10946,13049,11599,2291,4379,2465,37.529411,127.043638,6,1,4,1,18,0,8,0,0,2,18,6,청담동
현대1차,아파트,198312,ES,103.32,172.47,103.0,174,260000,260000,260000,160000,160000,,8345,8345,8345,3075,3075,,37.519536,127.051013,11,1,8,1,19,0,9,0,6,8,23,6,청담동
청담대우멤버스카운티Vll,아파트,200404,ES,158.89,159.35,159.0,220,0,0,,180000,180000,180000,0,0,,3742,3766,3742,37.527084,127.051271,3,0,7,1,19,0,16,1,7,8,26,6,청담동
청담역푸르지오시티,오피스텔,201406,ES,57.36,57.36,57.0,884,45000,45000,45000,0,0,,2610,2610,2610,0,0,,37.519811,127.056657,10,1,3,0,19,0,10,0,5,5,19,6,청담동
경원,오피스텔,199101,ES,42.32,61.94,42.0,761,29000,52000,30000,12000,17000,15000,2283,2818,2361,923,1338,1181,37.523676,127.045329,9,0,7,2,19,0,22,0,7,11,26,6,청담동
청담동양파라곤,아파트,200603,ES,204.84,287.34,204.0,225,500000,700000,600000,400000,500000,,6055,10371,9723,5105,6055,,37.521769,127.054732,12,1,7,0,19,0,16,0,7,9,22,6,청담동
진흥,아파트,198407,ES,109.31,180.67,145.0,178,270000,380000,380000,93000,95000,,6979,8663,8663,2821,2881,,37.520112,127.051472,14,1,9,1,19,0,15,0,5,8,23,6,청담동
삼성헤렌하우스2,아파트,201012,ES,133.03,273.46,189.0,0,350000,540000,400000,0,0,,6539,9694,6996,0,0,,37.51936,127.061176,5,0,3,0,17,0,5,0,0,1,13,6,청담동
건영,아파트,199409,ES,105.06,105.06,105.0,397,270000,400000,315000,57000,57000,57000,8501,12593,9917,1795,1795,1795,37.527524,127.052159,3,0,7,1,19,0,14,1,4,8,24,6,청담동
청담휴먼스타빌,아파트,200510,ES,48.42,48.42,48.0,1102,84000,95000,85000,0,0,,5785,6543,5854,0,0,,37.523772,127.046086,12,0,8,2,19,0,20,1,7,14,27,6,청담동
청담e-편한세상2차,아파트,200604,ES,103.39,137.37,103.0,229,218000,270000,218000,140000,150000,140000,6232,6997,6997,3378,4493,4493,37.521414,127.045392,8,0,7,2,19,0,17,0,7,10,26,6,청담동
더리버스청담,오피스텔,201901,ES,77.43,77.43,77.0,519,170000,190000,180000,0,0,,7298,8157,7728,0,0,,37.524378,127.055381,7,0,6,1,19,0,14,0,6,7,23,6,청담동
청담CJ빌리지,아파트,200404,ES,172.2,172.62,172.0,248,260000,270000,260000,0,0,,4997,5189,4997,0,0,,37.526802,127.049815,6,0,7,1,19,0,18,1,7,10,30,6,청담동
청담어퍼하우스,아파트,201911,ES,225.49,227.71,225.0,199,660000,680000,680000,0,0,,9612,9991,9991,0,0,,37.521029,127.050507,11,1,9,2,19,0,20,0,4,10,25,6,청담동
